file_name,rows,columns,modality,view_position,photometric_interpretation,has_pixel_data
9ed655dd-cc93-4bde-be51-804bac051f25.dcm,1024,1024,CR,AP,MONOCHROME2,True
585ad192-0e0e-49f6-a04c-242061a59e66.dcm,1024,1024,CR,PA,MONOCHROME2,True
e044843c-f2a1-46e1-bbf7-a55629eaa7c5.dcm,1024,1024,CR,AP,MONOCHROME2,True
b566301f-cc02-40f9-a324-6a2a91e51245.dcm,1024,1024,CR,AP,MONOCHROME2,True
08ec2d3b-bc62-47c6-b0ce-632f8dbbdb21.dcm,1024,1024,CR,PA,MONOCHROME2,True
3b2503ab-5006-420a-a26a-f5c8409488bf.dcm,1024,1024,CR,PA,MONOCHROME2,True
8c838d58-ecb1-4b76-bdb0-683e7890c5ed.dcm,1024,1024,CR,PA,MONOCHROME2,True
44f25bee-b705-4e42-a599-abb8a9ec9221.dcm,1024,1024,CR,PA,MONOCHROME2,True
35c98046-1334-4b50-8232-41fcc65d150e.dcm,1024,1024,CR,PA,MONOCHROME2,True
ee1a6bf5-ce03-4774-9090-78d185a78cc3.dcm,1024,1024,CR,PA,MONOCHROME2,True
e54f1e19-3d46-4d53-8575-2a7863fe0240.dcm,1024,1024,CR,PA,MONOCHROME2,True
4b2ef475-9226-4c26-b377-fa776c6a4806.dcm,1024,1024,CR,PA,MONOCHROME2,True
b0b3639e-7625-4bd2-b9a6-0bb87918987a.dcm,1024,1024,CR,AP,MONOCHROME2,True
b6e89c3b-bfa5-414c-851c-f155a5127dae.dcm,1024,1024,CR,PA,MONOCHROME2,True
54349eeb-01dd-4ddd-9f9b-f74d28a37524.dcm,1024,1024,CR,PA,MONOCHROME2,True
b4eba4ea-6143-4988-a05a-b0f25d6c0b1a.dcm,1024,1024,CR,PA,MONOCHROME2,True
4cfb1452-b5dd-4b81-a890-8af9d3788de7.dcm,1024,1024,CR,AP,MONOCHROME2,True
7d305045-ed6f-4c84-b749-28ef87968805.dcm,1024,1024,CR,AP,MONOCHROME2,True
e07110c1-7afa-45b3-8de5-901f0a96e394.dcm,1024,1024,CR,AP,MONOCHROME2,True
fbe7c985-22cd-4853-b4d0-2f594fb3237a.dcm,1024,1024,CR,PA,MONOCHROME2,True
de912601-ffb3-4d15-bfdd-7c079480d289.dcm,1024,1024,CR,PA,MONOCHROME2,True
35ffa64a-fc84-4582-95ad-40d4eab93197.dcm,1024,1024,CR,PA,MONOCHROME2,True
cddfd411-69a5-4a5e-8fee-0e29e28836f2.dcm,1024,1024,CR,PA,MONOCHROME2,True
545eea70-f537-42bc-95e6-79e0c59f4c68.dcm,1024,1024,CR,AP,MONOCHROME2,True
eb67aa12-22e7-4c47-b70d-729373418d04.dcm,1024,1024,CR,AP,MONOCHROME2,True
d31b42c9-c5d0-4d65-978f-b75e6ff3b7d9.dcm,1024,1024,CR,AP,MONOCHROME2,True
4ef08e2e-100a-4ddb-9977-e1eab87892e4.dcm,1024,1024,CR,AP,MONOCHROME2,True
38c5dfe6-dcca-4bfd-85c1-f3868ab37c6a.dcm,1024,1024,CR,AP,MONOCHROME2,True
87f877e7-ad10-4b37-aac3-ff05c4dc7a6f.dcm,1024,1024,CR,PA,MONOCHROME2,True
32eb1efb-96c1-41a9-b6a1-498ee55a371b.dcm,1024,1024,CR,PA,MONOCHROME2,True
90849bf6-c078-47c5-a407-1e3fe1d006e5.dcm,1024,1024,CR,AP,MONOCHROME2,True
eb3df5b0-0ddb-4117-b8b9-e34f2c3e5579.dcm,1024,1024,CR,AP,MONOCHROME2,True
6cd06a0e-f49a-443e-b616-1808561347a3.dcm,1024,1024,CR,PA,MONOCHROME2,True
cee8b61a-d0aa-42f7-8f90-0be7aac05636.dcm,1024,1024,CR,PA,MONOCHROME2,True
db4b7eb8-c6f8-4a1b-9698-10e28fc216da.dcm,1024,1024,CR,PA,MONOCHROME2,True
c35da9ae-c4d4-4143-9005-cf25e399470d.dcm,1024,1024,CR,AP,MONOCHROME2,True
aaa98324-17f0-4e05-bce8-f78de7fb00d7.dcm,1024,1024,CR,PA,MONOCHROME2,True
88acebca-2dd3-40e3-b1a6-967a68799b85.dcm,1024,1024,CR,PA,MONOCHROME2,True
34a959dd-8f9e-4fe4-8451-65e93e59fe2f.dcm,1024,1024,CR,PA,MONOCHROME2,True
a0508878-0960-41fa-85ec-001af6b58947.dcm,1024,1024,CR,PA,MONOCHROME2,True
c3ed68a1-efb5-429d-86f4-fcc234bd1fba.dcm,1024,1024,CR,PA,MONOCHROME2,True
e76d4df2-5578-4988-8c31-844715a21282.dcm,1024,1024,CR,AP,MONOCHROME2,True
928788e7-4a07-4a35-8fe0-934b20ceae6a.dcm,1024,1024,CR,AP,MONOCHROME2,True
a94f400d-d742-49a8-9821-f0028c807a5e.dcm,1024,1024,CR,AP,MONOCHROME2,True
bfbf1dcd-242c-4f22-8ef3-f72c8295535f.dcm,1024,1024,CR,PA,MONOCHROME2,True
6bbdbd28-5cd5-4f79-9128-b40e9e5d1fd5.dcm,1024,1024,CR,PA,MONOCHROME2,True
c3406b9b-8a4a-4a03-984f-1ec090f457b3.dcm,1024,1024,CR,PA,MONOCHROME2,True
6cb48d9a-fcc1-47d8-948e-5fde543b41bc.dcm,1024,1024,CR,PA,MONOCHROME2,True
ea244742-f337-4820-a873-707e0f2a9195.dcm,1024,1024,CR,PA,MONOCHROME2,True
4e3d57f1-b065-4701-be9d-2a7d44d25240.dcm,1024,1024,CR,AP,MONOCHROME2,True
073630e6-3b52-4b41-a14b-bf8bb57e28ea.dcm,1024,1024,CR,AP,MONOCHROME2,True
ed267d94-1def-4572-bb3d-49a4f9a7dee2.dcm,1024,1024,CR,PA,MONOCHROME2,True
5fb4a30f-84be-4fdc-81eb-e6616e1568ce.dcm,1024,1024,CR,AP,MONOCHROME2,True
18be2116-e8dd-4c42-8c56-8f2672e35bb7.dcm,1024,1024,CR,PA,MONOCHROME2,True
bf8b93f1-27d7-4885-b3f0-89b647d43e96.dcm,1024,1024,CR,PA,MONOCHROME2,True
f6bbce6a-4ebf-4fb5-9981-b0f00111618b.dcm,1024,1024,CR,PA,MONOCHROME2,True
55e596a9-102f-4550-a9a4-136a31bf300d.dcm,1024,1024,CR,PA,MONOCHROME2,True
c59c52fb-cd86-43b8-9338-8f2445902cc3.dcm,1024,1024,CR,AP,MONOCHROME2,True
f9c26b15-b775-437a-8a40-0850794f23bb.dcm,1024,1024,CR,AP,MONOCHROME2,True
de11bfe7-e8e0-421a-89d5-b3fd0494801e.dcm,1024,1024,CR,PA,MONOCHROME2,True
7590a971-6498-4b1f-b0cc-0f48b9538df6.dcm,1024,1024,CR,AP,MONOCHROME2,True
239b10e6-a859-447b-8496-eca7b6c8a356.dcm,1024,1024,CR,PA,MONOCHROME2,True
49b751b5-ba8c-48fd-811a-a09ac4d9026e.dcm,1024,1024,CR,AP,MONOCHROME2,True
762178eb-d2e7-4bef-a2c9-6d88c4b7b3a0.dcm,1024,1024,CR,AP,MONOCHROME2,True
338019e9-6ee8-47cc-b49f-32dd39c0adbc.dcm,1024,1024,CR,AP,MONOCHROME2,True
93e0aaa9-1c46-4041-a101-6b800a0df0ac.dcm,1024,1024,CR,PA,MONOCHROME2,True
ae6a4e67-b0d6-439e-ad05-8f751a8286c5.dcm,1024,1024,CR,PA,MONOCHROME2,True
ba18ab80-91fc-4c9b-9ec9-e59c0229f49b.dcm,1024,1024,CR,AP,MONOCHROME2,True
9b7e8c85-baab-4340-a476-4c992f0f2c46.dcm,1024,1024,CR,AP,MONOCHROME2,True
57906d1b-d8dc-473e-8be1-c0e11e217054.dcm,1024,1024,CR,PA,MONOCHROME2,True
29b0895a-a35b-4681-9706-71bf3c50f857.dcm,1024,1024,CR,AP,MONOCHROME2,True
9cf369fd-9fad-4577-95ba-18085e64f4c2.dcm,1024,1024,CR,PA,MONOCHROME2,True
99801d57-51a5-4df8-95af-cc92fc8da3d3.dcm,1024,1024,CR,PA,MONOCHROME2,True
f71e67aa-aac5-49f3-bb67-118f06466b7b.dcm,1024,1024,CR,PA,MONOCHROME2,True
f02b8370-0e08-47af-b4d4-6dbb681f219e.dcm,1024,1024,CR,AP,MONOCHROME2,True
802e062a-8865-4103-bba9-11dfa5b11367.dcm,1024,1024,CR,PA,MONOCHROME2,True
e15aeca6-1ab9-477d-8b29-8a4736caa8ea.dcm,1024,1024,CR,PA,MONOCHROME2,True
fe29ab2c-aee8-42f7-85e0-d836d8e30ea8.dcm,1024,1024,CR,PA,MONOCHROME2,True
66474484-30f7-4f06-a0e6-d02580f99915.dcm,1024,1024,CR,PA,MONOCHROME2,True
11b2df19-6f41-488f-8b84-4fdb6b81fd1b.dcm,1024,1024,CR,PA,MONOCHROME2,True
5f55346f-33ce-4ceb-ae4e-b85939c1e07c.dcm,1024,1024,CR,AP,MONOCHROME2,True
3e1d0f66-4d41-47ce-9b0b-c8e79ad2215c.dcm,1024,1024,CR,AP,MONOCHROME2,True
c40c9875-32fd-40ad-812f-6a044bc2774a.dcm,1024,1024,CR,AP,MONOCHROME2,True
98b413d9-edcb-4bbc-a035-ad24fd789cad.dcm,1024,1024,CR,PA,MONOCHROME2,True
7f822f92-f1e5-437d-a2ae-226042e22721.dcm,1024,1024,CR,AP,MONOCHROME2,True
0bb67407-6d0b-4e7a-be1e-63aa02f9ad09.dcm,1024,1024,CR,AP,MONOCHROME2,True
d0024302-d967-49d3-9b91-2d6947c4fc1d.dcm,1024,1024,CR,AP,MONOCHROME2,True
ef56756e-aaa2-4fcd-a153-dcecd1444a64.dcm,1024,1024,CR,AP,MONOCHROME2,True
